RunId;pt;bike;car;walk
0;-0.0684390243902439;-0.008472795497185742;0.033919324577861065;0.04199249530956847
1;-0.0791504922644163;-0.02248757618377871;0.07495499296765112;0.025683075480543827
2;-0.07774402250351618;0.020175339896858893;0.02807266760431315;0.02849601500234411
3;-0.09048405253283302;0.022015009380863038;0.06299999999999994;0.004469043151969998
4;-0.0533652133145804;0.0009535864978903047;0.026666197843413064;0.024745428973277084
5;-0.05289639006094703;-0.021549929676511953;0.05667088607594928;0.016775433661509603
6;-0.05503240958196336;0.017210897134805073;0.00921888210427424;0.027602630342883988
7;-0.05524050632911391;0.02111298640412565;0.04073089545241437;-0.007603375527426182
8;-0.04386885245901638;-0.021437939110070248;0.04028337236533952;0.024023419203747065
9;-0.0478629751290474;-0.026824026278742377;0.04774894415767239;0.02593805725011733
10;-0.04680168776371309;0.01783122362869198;0.012601500234411533;0.015368963900609461
11;-0.05067855466916939;0.017286719849835763;0.041179258564054355;-0.008787423744720801
12;-0.045742388758782185;0.014159250585480093;0.02201639344262285;0.008566744730679171
13;-0.04686303939962476;-0.0009681050656660389;0.0386097560975609;0.008221388367729843
14;-0.04680168776371309;0.01783122362869198;0.012601500234411533;0.015368963900609461
15;-0.04639399624765479;0.018262664165103193;0.026883677298311426;0.00024765478424015885
16;-0.04633286451007969;0.010798874824191285;0.02854149085794644;0.005992498827941867
17;-0.044457571495546175;0.001422409751523676;0.02385325832161267;0.018181903422409745
18;-0.04727051101734646;0.016893577121425224;0.020102672292545698;0.009274261603375522
19;-0.045395218002812945;0.01501828410689171;0.025728551336146266;0.003648382559774954
20;-0.044457571495546175;0.007517112048757615;0.016352086263478616;0.019588373183309887
21;-0.04357973733583488;0.0018461538461538446;0.03532645403377099;0.005407129455909959
22;-0.04645518535898639;0.01681745659314876;0.016777569216330335;0.011860159549507282
23;-0.04299156513589504;0.01177694470477976;0.02129428303655101;0.008920337394564215
24;-0.04029643527204502;0.020607879924953096;0.0320431519699812;-0.013354596622889292
25;-0.040765478424015;0.014979362101313329;0.048459662288930505;-0.023673545966228893
26;-0.03701313320825515;0.023891181988742974;0.027352720450281365;-0.015230769230769214
27;-0.03660065696855935;0.02291787893007978;0.03601736274049738;-0.023334584702017824
28;-0.03753918348193336;0.019163772876583773;0.03460957297043632;-0.01723416236508679
29;-0.03748217636022513;0.014979362101313329;0.04330018761726073;-0.02179737335834897
30;-0.038946973251994366;0.01869450961989677;0.0308554669169403;-0.011603003284842817
31;-0.038420262664165095;0.021076923076923076;0.03720262664165097;-0.02085928705440898
32;-0.03607504690431519;0.017793621013133212;0.03251219512195114;-0.015230769230769214
33;-0.03607504690431519;0.014041275797373368;0.042362101313320744;-0.021328330206378976
34;-0.038420262664165095;0.022953095684803;0.02922889305816123;-0.01476172607879922
35;-0.03660065696855935;0.023856405443453785;0.043056311590802365;-0.03131206006569687
36;-0.03613139371187235;0.011186297512904744;0.03226325668700136;-0.008318160488033799
37;-0.035192867198498345;0.013532613796339757;0.043056311590802365;-0.02239605818864382
38;-0.038420262664165095;0.021545966228893057;0.027821763602251304;-0.011947467166979364
39;-0.03701313320825515;0.022484052532833018;0.03673358348968092;-0.0232045028142589
40;-0.03976933895921238;0.004704172526957345;0.024790904828879468;0.009274261603375522
41;-0.039827392120075036;0.008881801125703567;0.018440900562851748;0.011504690431519693
42;-0.03607504690431519;0.022953095684803;0.012812382739211925;-0.0006904315196998301
44;-0.03660065696855935;0.01212482402627875;0.020531675269826355;0.0029441576724542617
45;-0.03601875293014534;0.019237693389592123;0.011663853727144846;0.004117205813408353
46;-0.03648757618377871;0.0037665260196905748;0.021977965307079184;0.009743084857008921
47;-0.03601875293014534;0.010798874824191285;0.021509142053445784;0.0027107360525082114
48;-0.037951219512195114;0.022015009380863038;0.0057767354596622855;0.009159474671669804
49;-0.034088097469540765;0.002873477038425498;0.01941986879100277;0.010794751640112482
50;-0.037951219512195114;0.012634146341463412;0.012343339587241986;0.011973733583489687
51;-0.03648757618377871;0.018300046882325366;0.010726207219878048;0.006461322081575238
52;-0.03279174484052533;0.009350844277673548;0.018909943714821686;0.003530956848030009
